title_sentiment_score,title_midterm_sentiment,title_longterm_sentiment,datetime
-0.947225034236908,-7.07760214805603,-16.404664278030396,2011-09-30
0.5190914869308472,0.0,0.0,2011-10-05
-0.9114125370979309,-5.14167332649231,-17.316076815128326,2011-10-07
-0.9637905955314636,-0.9637905955314636,0.0,2011-11-03
-0.9463526606559753,-1.910143256187439,0.0,2011-11-04
-0.9171913266181946,-1.86354398727417,-2.8273345828056335,2011-12-05
-0.6076732873916626,-1.5248646140098572,-3.435007870197296,2011-12-09
-0.9413190484046936,-2.466183662414551,-4.37632691860199,2011-12-27
-0.8610167503356934,-2.4100090861320496,-4.2735530734062195,2011-12-29
-0.8601070642471313,-2.6624428629875183,-4.1873074769973755,2012-01-10
0.5986776947975159,-1.1224461197853088,-3.5886297821998596,2012-01-11
0.598979115486145,-1.9583033323287964,-12.133367776870728,2012-01-13
0.9319600462913513,1.2695097923278809,-1.1404992938041687,2012-02-14
0.7492712736129761,2.018781065940857,0.21644526720046997,2012-02-16
0.46043604612350464,2.141667366027832,2.4792171120643616,2012-03-01
0.9095271229743958,0.9095271229743958,2.1192344427108765,2012-04-05
-0.8439069390296936,0.06562018394470215,1.2753275036811829,2012-04-12
0.8717296123504639,0.937349796295166,1.3977858424186707,2012-04-25
-0.9387274384498596,-0.0013776421546936035,-0.0013776421546936035,2012-04-26
0.644082248210907,0.5770844221115112,0.6427046060562134,2012-05-03
-0.7009372115135193,-0.056854963302612305,-0.05823260545730591,2012-05-30
1.5509989857673645,2.1499781012535095,-0.43083906173706055,2012-06-01
-0.5434650778770447,1.0075339078903198,0.9506789445877075,2012-06-08
0.8525859117507935,0.3091208338737488,1.159182608127594,2012-06-20
-0.0021150708198547363,0.8504708409309387,0.30700576305389404,2012-07-06
-0.919447124004364,-0.9215621948242188,-0.06897628307342529,2012-07-24
-0.614524781703949,0.9364742040634155,-0.3231842517852783,2012-07-27
-0.48222219944000244,-1.0967469811439514,-2.0161941051483154,2012-08-24
-0.9337159991264343,-1.4159381985664368,-2.9499101042747498,2012-08-29
-0.7608730792999268,-1.694589078426361,-2.1768112778663635,2012-09-14
-0.3746170401573181,-1.1354901194572449,-2.5514283180236816,2012-09-19
0.9022350311279297,-0.23325508832931519,-1.1669710874557495,2012-10-02
-0.8901612162590027,0.012073814868927002,-1.1234163045883179,2012-10-10
-1.8881118297576904,-3.392797827720642,-0.715201735496521,2012-10-19
-0.8772775530815125,-2.765389382839203,-2.753315567970276,2012-10-23
-0.8734652996063232,-2.6910855174064636,-4.529015898704529,2012-10-30
0.7443893551826477,-1.006353497505188,-2.8944653272628784,2012-11-06
0.8934769034385681,0.7644009590148926,-2.0009884238243103,2012-11-07
